Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.000500,-82.334100,0.000000,top
"C2","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",139.306300,-83.807300,90.000000,top
"C3","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.225800,-96.931480,0.000000,top
"C4","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",135.064500,-79.794100,90.000000,top
"C5","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",135.234680,-83.413600,90.000000,top
"D3","D_Schottky","D_SOD-123F",137.327000,-84.235200,90.000000,top
"D4","D_Schottky","D_SOD-123F",135.158480,-93.858080,180.000000,top
"IC1","LTC4412xS6","TSOT-23-6",131.914900,-79.806800,0.000000,top
"IC2","PCF8523T","SOIC-8_3.9x4.9mm_P1.27mm",134.863840,-100.914200,0.000000,top
"IC3","MX25R6435FM2IL0","MX25R6435FM2IL0",135.087360,-89.565480,0.000000,top
"IC4","LTC4054LES5-4.2#TRPBF","LTC4054LES5-4.2_TRPBF",130.698240,-94.091760,180.000000,top
"Q1","Si2307CDS","SOT-23",130.949700,-84.886800,180.000000,top
"R4","560K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",133.685280,-83.449160,90.000000,top
"R6","1.69K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.033000,-96.951800,0.000000,top
"R8","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",139.456160,-98.247200,90.000000,top
"R9","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",139.456160,-101.701600,270.000000,top
"U1","LP5907MFX-3.3","SOT-23-5",137.881360,-80.035200,270.000000,top
"U2","BAT-HLD-001","BAT-HLD-001",154.300000,-90.600000,270.000000,top
"U3","ESD401","ESD401DPYR",131.521200,-77.381100,180.000000,top
"U4","ESD401","ESD401DPYR",138.201400,-77.152500,180.000000,top
"X1","32.768KHZ","Crystal_SMD_3215-2Pin_3.2x1.5mm",129.844800,-100.136960,90.000000,top
